Geography;Sex;Age group (5,6);2010;2011;2012;2013
Prince Edward Island;Females;72 years;523;551;597;616
Prince Edward Island;Females;73 years;521;512;546;591
Prince Edward Island;Females;74 years;566;524;510;544
Prince Edward Island;Females;75 years;489;543;512;499
Prince Edward Island;Females;76 years;460;478;529;500
Prince Edward Island;Females;77 years;488;455;457;505
Prince Edward Island;Females;78 years;442;468;435;436
Prince Edward Island;Females;79 years;405;431;446;412
Prince Edward Island;Females;80 years;351;395;410;428
Prince Edward Island;Females;81 years;353;342;377;392
Prince Edward Island;Females;82 years;344;335;326;359
Prince Edward Island;Females;83 years;345;330;319;311
Prince Edward Island;Females;84 years;336;323;308;297
Prince Edward Island;Females;85 years;298;319;308;293
Prince Edward Island;Females;86 years;237;273;292;281
Prince Edward Island;Females;87 years;275;222;250;268
Prince Edward Island;Females;88 years;232;238;200;225
Prince Edward Island;Females;89 years;195;207;212;178
Prince Edward Island;Females;90 years;192;172;179;183
Prince Edward Island;Females;91 years;151;173;148;155
Prince Edward Island;Females;92 years;105;135;143;121
Prince Edward Island;Females;93 years;79;92;108;114
Prince Edward Island;Females;94 years;80;67;77;90
Prince Edward Island;Females;95 years;60;63;50;58
Prince Edward Island;Females;96 years;50;42;46;36
Prince Edward Island;Females;97 years;34;36;29;33
Prince Edward Island;Females;98 years;21;25;26;21
Prince Edward Island;Females;99 years;28;14;18;19
Prince Edward Island;Females;100 years and over;13;28;30;34
Nova Scotia;Males;0 years;4700;4455;4453;4420
Nova Scotia;Males;1 year;4561;4662;4454;4441
Nova Scotia;Males;2 years;4721;4584;4648;4437
Nova Scotia;Males;3 years;4520;4689;4566;4636
Nova Scotia;Males;4 years;4461;4508;4671;4537
Nova Scotia;Males;5 years;4423;4513;4499;4652
Nova Scotia;Males;6 years;4465;4446;4509;4489
Nova Scotia;Males;7 years;4509;4504;4432;4500
Nova Scotia;Males;8 years;4670;4545;4502;4420
Nova Scotia;Males;9 years;4782;4694;4538;4499
Nova Scotia;Males;10 years;4999;4782;4670;4534
Nova Scotia;Males;11 years;5037;5010;4783;4670
Nova Scotia;Males;12 years;5239;5069;5009;4788
Nova Scotia;Males;13 years;5426;5273;5083;5001
Nova Scotia;Males;14 years;5589;5464;5308;5091
Nova Scotia;Males;15 years;5699;5598;5470;5316
Nova Scotia;Males;16 years;5838;5751;5634;5503
Nova Scotia;Males;17 years;6059;5863;5795;5668
Nova Scotia;Males;18 years;6157;6144;5982;5840
Nova Scotia;Males;19 years;6757;6340;6328;6096
Nova Scotia;Males;20 years;6923;6919;6452;6347
Nova Scotia;Males;21 years;6739;7007;7061;6422
Nova Scotia;Males;22 years;6280;6763;7045;6954
Nova Scotia;Males;23 years;6237;6339;6737;6923
Nova Scotia;Males;24 years;6146;6213;6257;6587
Nova Scotia;Males;25 years;6027;6113;6128;6113
Nova Scotia;Males;26 years;5890;6018;6027;6012
Nova Scotia;Males;27 years;5711;5800;5922;5912
Nova Scotia;Males;28 years;5537;5704;5760;5830
Nova Scotia;Males;29 years;5507;5615;5688;5696
Nova Scotia;Males;30 years;5617;5654;5587;5629
Nova Scotia;Males;31 years;5383;5705;5599;5548
Nova Scotia;Males;32 years;5326;5537;5686;5561
Nova Scotia;Males;33 years;5442;5476;5532;5655
Nova Scotia;Males;34 years;5694;5523;5453;5498
Nova Scotia;Males;35 years;5735;5709;5501;5412
Nova Scotia;Males;36 years;5612;5779;5695;5455
Nova Scotia;Males;37 years;5970;5712;5725;5637
Nova Scotia;Males;38 years;6133;5948;5651;5683
Nova Scotia;Males;39 years;6445;6159;5915;5609
Nova Scotia;Males;40 years;6279;6410;6108;5868
